_id,Country,TotalDeaths,Tweet Counts,Rate
5eaa1cc384f2ea0f14fef739,Mayotte,0,FALSE,2.71
5eaa1cc384f2ea0f14fef73b,"Micronesia, Federated States of",0,FALSE,FALSE
5eaa1cc384f2ea0f14fef73e,Mongolia,0,FALSE,6.351
5eaa1cc384f2ea0f14fef740,Montserrat,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef742,Mozambique,0,FALSE,8.42
5eaa1cc384f2ea0f14fef744,Namibia,0,FALSE,8.063
5eaa1cc384f2ea0f14fef745,Nauru,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef746,Nepal,0,FALSE,6.358
5eaa1cc384f2ea0f14fef74a,Netherlands Antilles,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef74b,New Caledonia,0,FALSE,5.807
5eaa1cc384f2ea0f14fef750,Niue,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef751,Norfolk Island,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef752,Northern Mariana Islands,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef759,Palau,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef75c,Papua New Guinea,0,FALSE,7.408
5eaa1cc384f2ea0f14fef760,Pitcairn,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef765,Puerto Rico,0,FALSE,9.54
5eaa1cc384f2ea0f14fef76b,Réunion,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef76c,Saint Helena,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef76d,Saint Kitts and Nevis,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef76e,Saint Lucia,0,FALSE,7.229
5eaa1cc384f2ea0f14fef76f,Saint Pierre and Miquelon,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef770,Saint Vincent and Grenadines,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef771,Saint-Barthélemy,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef772,Saint-Martin (French part),0,FALSE,FALSE
5eaa1cc384f2ea0f14fef773,Samoa,0,FALSE,5.236
5eaa1cc384f2ea0f14fef775,Sao Tome and Principe,0,FALSE,4.819
5eaa1cc384f2ea0f14fef77a,Seychelles,0,FALSE,7.853
5eaa1cc384f2ea0f14fef781,Solomon Islands,0,FALSE,4.255
5eaa1cc384f2ea0f14fef786,South Georgia and the South Sandwich Islands,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef787,South Sudan,0,FALSE,10.43
5eaa1cc384f2ea0f14fef7bd,Svalbard and Jan Mayen Islands,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef7c3,Tajikistan,0,FALSE,4.836
5eaa1cc384f2ea0f14fef7c7,Timor-Leste,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef7c9,Tokelau,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef7ca,Tonga,0,FALSE,7.128
5eaa1cc384f2ea0f14fef7d2,Turkmenistan,0,FALSE,7.06
5eaa1cc384f2ea0f14fef7d3,Turks and Caicos Islands,0,FALSE,FALSE
